"","player","season.x","DRAYMOND","X_id","salary","season.y","season_end","season_start","team","career_AST","career_FG%","career_PTS","position"
"1","Aaron Brooks","2018",-3.238316,"brookaa01",1471382,"2017-18",2018,2017,"Minnesota Timberwolves",3,"41.3",9.7,"Point Guard"
"2","Aaron Gordon","2018",1.179464,"gordoaa01",5504420,"2017-18",2018,2017,"Orlando Magic",2.2,"45.0",12.5,"Power Forward and Small Forward"
"3","Aaron Harrison","2018",-0.513968,"harriaa01",174571,"2017-18",2018,2017,"Dallas Mavericks",0.5,"26.1",2.3,"Shooting Guard"
"4","Aaron Jackson","2018",-7.791431,"jacksaa01",4608,"2017-18",2018,2017,"Houston Rockets",1,"33.3",8,"Point Guard"
"5","Abdel Nader","2018",-2.305092,"naderab01",1167333,"2017-18",2018,2017,"Boston Celtics",0.4,"38.7",3.6,"Small Forward"
"6","Al Horford","2018",2.735347,"horfoal01",27734405,"2017-18",2018,2017,"Boston Celtics",3.2,"52.5",14.1,"Center"
"7","Al Jefferson","2018",-0.6700933,"jeffeal01",9769821,"2017-18",2018,2017,"Indiana Pacers",1.5,"49.9",15.7,"Power Forward and Center"
"8","Al-Farouq Aminu","2018",0.939367,"aminual01",7319035,"2017-18",2018,2017,"Portland Trail Blazers",1.2,"42.3",7.7,"Power Forward and Small Forward"
"9","Alan Williams","2018",-2.083492,"willial03",6e+06,"2017-18",2018,2017,"Phoenix Suns",0.6,"50.6",6.2,"Power Forward and Center"
"10","Alec Burks","2018",-2.676581,"burksal01",10845506,"2017-18",2018,2017,"Utah Jazz",1.7,"42.3",9.5,"Shooting Guard"
"11","Alex Abrines","2018",-0.6406532,"abrinal01",5725000,"2017-18",2018,2017,"Oklahoma City Thunder",0.5,"38.7",5.3,"Shooting Guard"
"12","Alex Len","2018",0.5535545,"lenal01",4187599,"2017-18",2018,2017,"Phoenix Suns",0.8,"48.7",7.9,"Center"
"13","Alex Poythress","2018",0.9690092,"poythal01",778668,"2017-18",2018,2017,"Indiana Pacers",0.5,"47.2",3.8,"Power Forward"
"14","Alfonzo McKinnie","2018",2.833355,"mckinal01",815615,"2017-18",2018,2017,"Toronto Raptors",0.4,"49.0",4.2,"Small Forward"
"15","Allen Crabbe","2018",0.8271663,"crabbal01",19332500,"2017-18",2018,2017,"Brooklyn Nets",1.2,"42.9",9.5,"Shooting Guard"
"16","Amir Johnson","2018",1.458153,"johnsam01",1.1e+07,"2017-18",2018,2017,"Philadelphia 76ers",1.2,"57.0",7,"Center and Small Forward and Power Forward"
"17","Andre Drummond","2018",-0.0915594,"drumman01",23775506,"2017-18",2018,2017,"Detroit Pistons",1.2,"54.3",14.1,"Center"
"18","Andre Iguodala","2018",0.7089451,"iguodan01",14814815,"2017-18",2018,2017,"Golden State Warriors",4.4,"46.6",12.1,"Small Forward and Shooting Guard"
"19","Andre Ingram","2018",-0.4649389,"ingraan01",13824,"2017-18",2018,2017,"Los Angeles Lakers",1.2,"34.8",4,"Shooting Guard"
"20","Andre Roberson","2018",0.6397376,"roberan03",9259259,"2017-18",2018,2017,"Oklahoma City Thunder",0.9,"48.2",4.6,"Shooting Guard and Small Forward"
"21","Andrew Bogut","2018",1.802759,"bogutan01",1105123,"2017-18",2018,2017,"Los Angeles Lakers",2.2,"53.5",9.6,"Power Forward and Center"
"22","Andrew Harrison","2018",0.4766314,"harrian01",1312611,"2017-18",2018,2017,"Memphis Grizzlies",2.8,"37.3",7,"Point Guard"
"23","Andrew Wiggins","2018",-0.3053623,"wiggian01",7574322,"2017-18",2018,2017,"Minnesota Timberwolves",2.2,"44.0",19.4,"Small Forward"
"24","Ante Zizic","2018",0.5383138,"zizican01",1645200,"2017-18",2018,2017,"Cleveland Cavaliers",0.6,"58.3",6.4,"Center"
"25","Anthony Davis","2018",3.207572,"davisan02",23775506,"2017-18",2018,2017,"New Orleans Pelicans",2.1,"51.7",23.7,"Power Forward and Center"
"26","Anthony Tolliver","2018",1.774496,"tollian01",2e+06,"2017-18",2018,2017,"Sacramento Kings",0.9,"41.8",6.4,"Power Forward and Small Forward"
"27","Anthony Tolliver","2018",1.774496,"tollian01",3290000,"2017-18",2018,2017,"Detroit Pistons",0.9,"41.8",6.4,"Power Forward and Small Forward"
"28","Aron Baynes","2018",2.715094,"baynear01",4328000,"2017-18",2018,2017,"Boston Celtics",0.7,"49.8",5.4,"Center"
"29","Arron Afflalo","2018",0.4262567,"afflaar01",1500000,"2017-18",2018,2017,"Sacramento Kings",1.8,"45.0",10.8,"Shooting Guard and Small Forward"
"30","Arron Afflalo","2018",0.4262567,"afflaar01",1471382,"2017-18",2018,2017,"Orlando Magic",1.8,"45.0",10.8,"Shooting Guard and Small Forward"
"31","Austin Rivers","2018",-0.4428546,"riverau01",11825000,"2017-18",2018,2017,"Los Angeles Clippers",2.4,"41.7",9.2,"Point Guard and Shooting Guard"
"32","Avery Bradley","2018",-0.9791553,"bradlav01",8808989,"2017-18",2018,2017,"Los Angeles Clippers",1.8,"43.6",12,"Point Guard and Shooting Guard"
"33","Bam Adebayo","2018",1.03855,"adebaba01",2490360,"2017-18",2018,2017,"Miami Heat",1.9,"55.0",8,"Center"
"34","Ben McLemore","2018",-2.162794,"mclembe01",5200000,"2017-18",2018,2017,"Memphis Grizzlies",1.1,"41.7",8.8,"Shooting Guard"
"35","Ben Simmons","2018",1.224182,"simmobe01",6168840,"2017-18",2018,2017,"Philadelphia 76ers",7.9,"55.4",16.4,"Point Guard"
"36","Bismack Biyombo","2018",0.7512486,"biyombi01",1.7e+07,"2017-18",2018,2017,"Orlando Magic",0.5,"51.7",4.9,"Center"
"37","Blake Griffin","2018",0.9182305,"griffbl01",29727900,"2017-18",2018,2017,"Detroit Pistons",4.5,"50.2",21.9,"Power Forward"
