player,difference_in_salary,estimated_salary,actual_salary
Aaron Brooks,4964810.54538879,6436192.54538879,1471382
Aaron Gordon,3726282.65425508,9230702.65425508,5504420
Aaron Harrison,161653.923049338,336224.923049338,174571
Aaron Jackson,4567897.56861229,4572505.56861229,4608
Abdel Nader,123335.027067397,1290668.0270674,1167333
Al Horford,-16993305.9434262,10741099.0565738,27734405
Al Jefferson,2038762.15254369,11808583.1525437,9769821
Al-Farouq Aminu,-2224260.62144927,5094774.37855073,7319035
Alan Williams,-2460864.77232531,3539135.22767469,6E+06
Alec Burks,-4530602.92943404,6314903.07056596,10845506
Alex Abrines,-2828525.83976835,2896474.16023165,5725000
Alex Len,1044169.98595656,5231768.98595656,4187599
Alex Poythress,975726.177629228,1754394.17762923,778668
Alfonzo McKinnie,1448089.46222409,2263704.46222409,815615
Allen Crabbe,-12704806.8321818,6627693.16781816,19332500
Amir Johnson,-6458942.4177028,4541057.5822972,1.1E+07
Andre Drummond,-13286773.4105452,10488732.5894548,23775506
Andre Iguodala,-5968991.49582168,8845823.50417832,14814815
Andre Ingram,1783994.55630952,1797818.55630952,13824
Andre Roberson,-6848510.87668266,2410748.12331734,9259259
Andrew Bogut,5695382.89980827,6800505.89980827,1105123
Andrew Harrison,3140823.18642069,4453434.18642069,1312611
Andrew Wiggins,7438410.98558814,15012732.9855881,7574322
Ante Zizic,2299428.99897699,3944628.99897699,1645200
Anthony Davis,-4763261.80870126,19012244.1912987,23775506
Anthony Tolliver,2054986.71528817,4054986.71528817,2E+06
Anthony Tolliver,764986.715288165,4054986.71528817,3290000
Aron Baynes,-1046229.5312571,3281770.4687429,4328000
Arron Afflalo,6206244.90757528,7706244.90757528,1500000
Arron Afflalo,6234862.90757528,7706244.90757528,1471382
Austin Rivers,-5567841.31211897,6257158.68788103,11825000
Avery Bradley,-199585.940838331,8609403.05916167,8808989
Bam Adebayo,2870424.62507423,5360784.62507423,2490360
Ben McLemore,560739.998493351,5760739.99849335,5200000
Ben Simmons,6408881.2146809,12577721.2146809,6168840
Bismack Biyombo,-14322141.0723881,2677858.92761193,1.7E+07
Blake Griffin,-12462967.5190259,17264932.4809741,29727900
Boban Marjanovic,-3169337.30301721,3830662.69698279,7E+06
