X_id,career_AST,career_FG%,career_PTS,name,position
abdelal01,0.3,50.2,5.7,Alaa Abdelnaby,Power Forward
abdulza01,1.2,42.8,9.0,Zaid Abdul-Aziz,Power Forward and Center
abdulka01,3.6,55.9,24.6,Kareem Abdul-Jabbar,Center
abdulma02,3.5,44.2,14.6,Mahmoud Abdul-Rauf,Point Guard
abdulta01,1.1,41.7,7.8,Tariq Abdul-Wahad,Shooting Guard
abdursh01,2.5,47.2,18.1,Shareef Abdur-Rahim,Center and Small Forward and Power Forward
abernto01,1.2,49.2,5.6,Tom Abernethy,Small Forward and Power Forward
ablefo01,1.0,0.0,0.0,Forest Able,Guard
abramjo01,0.7,23.7,9.5,John Abramovic,Forward
abrinal01,0.5,38.7,5.3,Alex Abrines,Shooting Guard
ackeral01,0.5,37.0,2.7,Alex Acker,Shooting Guard
ackerdo01,0.8,22.2,1.5,Don Ackerman,Point Guard
acresma01,0.5,50.6,3.6,Mark Acres,Center
actonbu01,0.5,39.2,3.3,Bud Acton,Small Forward
acyqu01,0.6,44.4,4.9,Quincy Acy,Power Forward and Small Forward
adamsal01,4.1,49.8,14.1,Alvan Adams,Center and Power Forward
adamsdo01,1.9,40.2,8.8,Don Adams,Small Forward
adamsge01,1.5,49.7,7.7,George Adams,Small Forward
adamsha01,0.2,53.4,2.5,Hassan Adams,Shooting Guard
adamsja01,1.9,34.5,3.2,Jaylen Adams,Point Guard
adamsjo01,0.6,40.2,3.2,Jordan Adams,Shooting Guard
adamsmi01,6.4,41.5,14.7,Michael Adams,Point Guard
adamsst01,1.0,58.8,9.7,Steven Adams,Center
addisra01,0.9,44.9,5.8,Rafael Addison,Small Forward
adebaba01,1.9,55.0,8.0,Bam Adebayo,Center
adelde01,0.3,30.6,1.7,Deng Adel,Small Forward
adelmri01,3.5,41.5,7.7,Rick Adelman,Point Guard
adrieje01,0.7,47.4,4.6,Jeff Adrien,Power Forward
afflaar01,1.8,45.0,10.8,Arron Afflalo,Shooting Guard and Small Forward
agerma01,0.2,33.9,2.1,Maurice Ager,Shooting Guard
aguirma01,3.1,48.4,20.0,Mark Aguirre,Small Forward
ahearbl01,1.2,27.3,4.6,Blake Ahearn,Point Guard
aingeda01,4.0,46.9,11.5,Danny Ainge,Shooting Guard and Point Guard
aitchma01,0.4,40.5,5.6,Matthew Aitch,Power Forward
ajincal01,0.5,50.3,5.3,Alexis Ajinca,Power Forward and Center
akinhe01,0.5,35.0,3.5,Henry Akin,Center and Power Forward
akognjo01,0.3,50.0,1.7,Josh Akognon,Point Guard
akoonde01,0.9,30.0,1.0,DeVaughn Akoon-Purcell,Shooting Guard
alabiso01,0.2,31.4,1.5,Solomon Alabi,Center
alarima01,1.1,47.5,7.5,Mark Alarie,Power Forward
alcorga01,0.3,29.3,3.3,Gary Alcorn,Center
aldemfu01,0.7,51.3,2.3,Furkan Aldemir,Power Forward
aldrico01,0.5,52.7,3.1,Cole Aldrich,Center
aldrila01,2.0,49.1,19.6,LaMarcus Aldridge,Power Forward and Center
aleksch01,0.5,47.8,5.1,Chuck Aleksinas,Center
alexacl01,0.0,50.0,1.3,Cliff Alexander,Power Forward
alexaco01,2.7,38.9,5.5,Cory Alexander,Shooting Guard and Point Guard
alexaco02,1.2,42.2,9.0,Courtney Alexander,Point Guard and Shooting Guard
alexaga01,0.2,57.1,1.7,Gary Alexander,Power Forward
alexajo01,0.7,41.0,4.2,Joe Alexander,Small Forward
alexavi01,0.9,51.8,8.9,Victor Alexander,Center
alforst01,1.0,45.9,4.4,Steve Alford,Point Guard
alkinra01,1.3,33.3,3.7,Rawle Alkins,Shooting Guard
allenbi01,0.6,42.9,7.9,Bill Allen,Center
allenbo01,0.4,32.6,1.8,Bob Allen,Power Forward
allengr01,0.7,37.6,5.6,Grayson Allen,Shooting Guard
allenja01,1.0,59.0,9.6,Jarrett Allen,Center
allenje01,1.7,35.0,2.9,Jerome Allen,Shooting Guard
allenka01,2.4,43.6,5.6,Kadeem Allen,Shooting Guard and Point Guard
allenla01,1.0,47.1,4.8,Lavoy Allen,Power Forward and Center
allenlu01,4.5,46.3,13.4,Lucius Allen,Point Guard
allenma01,0.5,43.9,4.9,Malik Allen,Power Forward
allenra01,0.3,44.2,3.6,Randy Allen,Shooting Guard
allenra02,3.4,45.2,18.9,Ray Allen,Shooting Guard
allento01,1.3,47.5,8.1,Tony Allen,Shooting Guard and Small Forward and Point Guard
allenwi01,0.6,30.8,1.9,Willie Allen,Power Forward
allisod01,0.3,21.8,1.9,Odis Allison,Small Forward
allrela01,0.0,25.0,1.0,Lance Allred,Center
allumda01,1.1,34.3,2.7,Darrell Allums,Power Forward
almonmo01,0.3,38.1,3.1,Morris Almond,Shooting Guard
alstode01,0.7,48.9,5.4,Derrick Alston,Center
alstora01,4.8,38.3,10.1,Rafer Alston,Point Guard
alumape01,0.0,50.0,1.0,Peter Aluma,Center
amaecjo01,0.8,40.3,6.2,John Amaechi,Power Forward and Center
amayaas01,0.4,45.5,4.5,Ashraf Amaya,Power Forward
aminual01,1.2,42.3,7.7,Al-Farouq Aminu,Power Forward and Small Forward
amundlo01,0.4,47.4,3.7,Lou Amundson,Power Forward
anderbo01,0.9,38.5,4.0,Bob Anderegg,Small Forward
anderch01,0.5,53.2,5.4,Chris Andersen,Power Forward and Center
anderda03,0.6,44.0,4.9,David Andersen,Power Forward and Center
anderal01,1.1,40.5,7.3,Alan Anderson,Shooting Guard and Small Forward
anderan01,1.7,41.0,10.7,Andrew Anderson,Shooting Guard and Point Guard
anderan02,0.0,33.3,2.0,Antonio Anderson,Small Forward
andercl01,0.9,35.4,3.0,Cliff Anderson,Shooting Guard
anderda01,1.1,48.1,12.2,Dan Anderson,Center
anderda02,1.7,47.2,3.7,Dan Anderson,Point Guard and Shooting Guard
anderde01,3.4,40.8,12.0,Derek Anderson,Shooting Guard and Small Forward and Point Guard
anderdw01,0.6,50.0,4.2,Dwight Anderson,Point Guard
anderer01,0.2,34.3,1.6,Eric Anderson,Power Forward
andergr01,0.6,49.2,7.3,Greg Anderson,Center and Power Forward
anderjj01,0.7,46.5,4.8,J.J. Anderson,Small Forward
anderja01,1.2,41.1,5.8,James Anderson,Small Forward and Shooting Guard
anderje01,0.3,49.0,2.6,Jerome Anderson,Shooting Guard
anderju01,0.7,41.9,5.3,Justin Anderson,Small Forward
anderke01,6.1,42.1,12.6,Kenny Anderson,Point Guard
anderki01,0.7,31.2,3.0,Kim Anderson,Small Forward
anderky01,1.9,49.2,5.3,Kyle Anderson,Small Forward
andermi01,4.3,41.7,5.7,Michael Anderson,Point Guard
anderni01,2.6,44.6,14.4,Nick Anderson,Shooting Guard and Small Forward
anderri01,1.5,41.2,5.6,Richard Anderson,Center and Power Forward
anderro01,1.4,47.1,10.6,Ron Anderson,Small Forward
anderry01,0.9,42.2,12.4,Ryan Anderson,Power Forward
andersh01,1.4,45.7,7.4,Shandon Anderson,Small Forward and Shooting Guard
anderwi01,3.8,47.1,12.2,Willie Anderson,Shooting Guard and Small Forward
